epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
73,2492.44,1.22624,1.31589,0.01784,0.74679,0.66004,0.71931,0.429,1.32795,1.30964,0.0278,0.00143152,0.00143152,0.00143152
74,2525.6,1.21456,1.33944,0.01739,0.82159,0.63739,0.73896,0.44931,1.37433,1.198,0.0297,0.0014174,0.0014174,0.0014174
75,2559.81,1.22767,1.32777,0.01735,0.86295,0.64215,0.74418,0.45387,1.36407,1.20231,0.02943,0.00140318,0.00140318,0.00140318
76,2593.87,1.21859,1.34624,0.01703,0.83196,0.66289,0.74797,0.44631,1.37567,1.20545,0.02922,0.00138886,0.00138886,0.00138886
77,2627.54,1.21405,1.29241,0.01679,0.82857,0.67139,0.74471,0.4499,1.35957,1.28246,0.02916,0.00137444,0.00137444,0.00137444
78,2661.11,1.19593,1.2658,0.01711,0.79779,0.66289,0.74937,0.44991,1.41085,1.1834,0.02996,0.00135994,0.00135994,0.00135994
79,2694.57,1.1942,1.28287,0.01691,0.80731,0.66466,0.75348,0.44838,1.30702,1.19132,0.02741,0.00134535,0.00134535,0.00134535
80,2728.12,1.20987,1.29295,0.01733,0.81793,0.65439,0.73944,0.44728,1.3607,1.25724,0.02869,0.00133068,0.00133068,0.00133068
81,2761.34,1.18957,1.28188,0.01701,0.844,0.66289,0.75931,0.46975,1.3099,1.11991,0.02758,0.00131593,0.00131593,0.00131593
82,2796.17,1.20248,1.28003,0.017,0.76949,0.68089,0.74997,0.44602,1.36317,1.20203,0.02902,0.0013011,0.0013011,0.0013011
83,2829.53,1.19253,1.28762,0.01711,0.82778,0.64306,0.74559,0.44081,1.37698,1.26759,0.03012,0.0012862,0.0012862,0.0012862
84,2862.96,1.19311,1.28194,0.01692,0.81584,0.69023,0.76104,0.46687,1.31332,1.22678,0.02726,0.00127123,0.00127123,0.00127123
85,2896.28,1.2051,1.264,0.01687,0.87706,0.6467,0.75262,0.44756,1.40268,1.16376,0.03093,0.0012562,0.0012562,0.0012562
86,2929.56,1.18801,1.25246,0.01676,0.83971,0.66006,0.74491,0.4501,1.37818,1.18548,0.02997,0.00124111,0.00124111,0.00124111
87,2962.89,1.17437,1.26247,0.0171,0.84905,0.6204,0.72769,0.44617,1.32424,1.2119,0.02823,0.00122596,0.00122596,0.00122596
88,2996.2,1.16137,1.25986,0.0164,0.80637,0.66067,0.74241,0.45316,1.29705,1.20646,0.02775,0.00121076,0.00121076,0.00121076
89,3029.52,1.16527,1.25746,0.01676,0.79356,0.71388,0.76044,0.45171,1.40702,1.13212,0.02982,0.00119551,0.00119551,0.00119551
90,3062.89,1.14053,1.18791,0.01583,0.81939,0.6683,0.74363,0.45976,1.32391,1.16854,0.02766,0.00118021,0.00118021,0.00118021
91,3096.25,1.17321,1.24969,0.01641,0.81213,0.65156,0.72565,0.45274,1.36802,1.17436,0.02921,0.00116487,0.00116487,0.00116487
92,3130.46,1.15495,1.24879,0.01623,0.79968,0.65439,0.73716,0.46374,1.30906,1.18534,0.02707,0.00114949,0.00114949,0.00114949
93,3163.93,1.1579,1.23293,0.01629,0.84943,0.64873,0.75149,0.4573,1.3065,1.23673,0.02781,0.00113408,0.00113408,0.00113408
94,3197.35,1.12306,1.21443,0.01602,0.83624,0.69405,0.75205,0.4546,1.34741,1.16796,0.02833,0.00111864,0.00111864,0.00111864
95,3230.7,1.13203,1.18665,0.01585,0.87132,0.65722,0.75435,0.46699,1.30952,1.16975,0.02769,0.00110317,0.00110317,0.00110317
96,3264.03,1.14657,1.1832,0.01589,0.80127,0.68555,0.74376,0.46817,1.30758,1.24019,0.02715,0.00108767,0.00108767,0.00108767
97,3297.62,1.14684,1.18925,0.01643,0.84959,0.68272,0.75292,0.47188,1.25991,1.19782,0.02604,0.00107216,0.00107216,0.00107216
98,3331.99,1.13132,1.18455,0.01593,0.85253,0.67989,0.75392,0.46505,1.33043,1.18782,0.02842,0.00105664,0.00105664,0.00105664
99,3365.67,1.13843,1.19602,0.01628,0.86764,0.66852,0.76491,0.46102,1.33082,1.1558,0.0281,0.0010411,0.0010411,0.0010411
