epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,4526.6,1.39858,1.1886,0.01225,0.91485,0.82702,0.9037,0.62769,1.11767,0.67646,0.01328,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117
49,4620.64,1.39704,1.18714,0.01223,0.89985,0.82817,0.89938,0.61705,1.15317,0.67311,0.01373,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
50,4714.39,1.39208,1.18476,0.0122,0.89477,0.83744,0.89663,0.61749,1.12143,0.67402,0.01304,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473
51,4808,1.39174,1.20236,0.01205,0.92064,0.79672,0.89742,0.63051,1.12739,0.66677,0.01362,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
52,4902.82,1.38284,1.16179,0.01209,0.92836,0.81806,0.8965,0.63213,1.08816,0.69507,0.0126,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477
53,4996.96,1.36859,1.122,0.01196,0.90365,0.8447,0.90193,0.63109,1.1117,0.67387,0.01301,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
54,5090.74,1.37612,1.13467,0.01185,0.90162,0.83316,0.89866,0.62918,1.09955,0.69912,0.01283,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141
55,5184.21,1.35746,1.14681,0.0118,0.89455,0.8462,0.90274,0.63152,1.11448,0.65077,0.01312,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
56,5277.77,1.35959,1.14873,0.01173,0.87504,0.84343,0.89802,0.63618,1.09266,0.69804,0.0123,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477
57,5371.83,1.34593,1.10955,0.01209,0.93113,0.83652,0.90759,0.64403,1.09192,0.62633,0.01238,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
58,5465.76,1.35986,1.13673,0.01193,0.9416,0.81313,0.90275,0.6316,1.0973,0.67122,0.01249,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495
59,5558.81,1.33963,1.11089,0.01177,0.92624,0.83586,0.89666,0.63115,1.10341,0.68595,0.01289,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
60,5651.91,1.34771,1.08973,0.01153,0.90782,0.83312,0.89563,0.62701,1.12164,0.67585,0.01325,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208
61,5745.42,1.32928,1.07989,0.01127,0.93841,0.81313,0.89701,0.64355,1.07531,0.68892,0.01275,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
62,5839.89,1.3206,1.09493,0.01148,0.93128,0.82126,0.9001,0.63642,1.08025,0.68849,0.01271,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628
63,5933.42,1.34361,1.07997,0.01173,0.91146,0.84482,0.90895,0.63968,1.09604,0.63018,0.01312,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
64,6027.04,1.31736,1.06768,0.01166,0.93041,0.84975,0.91117,0.64207,1.09643,0.62039,0.01301,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766
65,6120.25,1.32136,1.07664,0.01162,0.91114,0.85606,0.91055,0.6416,1.09534,0.62183,0.0127,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
66,6213.52,1.29658,1.06989,0.01137,0.91543,0.84848,0.90525,0.64412,1.05271,0.63944,0.01223,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637
67,6307.32,1.29812,1.002,0.01119,0.93149,0.84114,0.90887,0.65464,1.0488,0.61651,0.01196,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
68,6401.21,1.30847,1.04401,0.01106,0.93948,0.84975,0.90891,0.64993,1.06531,0.64269,0.01213,0.0225076,0.00750252,0.0225076,0.00750252,0.0225076,0.00750252,0.0225076,0.00750252
69,6494.8,1.28259,1.01862,0.01108,0.93232,0.82323,0.90316,0.64284,1.06846,0.69421,0.01211,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
70,6588.59,1.28656,1.01886,0.01124,0.91633,0.82971,0.90478,0.64919,1.06037,0.61448,0.01227,0.0220988,0.00736625,0.0220988,0.00736625,0.0220988,0.00736625,0.0220988,0.00736625
71,6681.89,1.27491,1.01239,0.01109,0.92828,0.81313,0.89999,0.64879,1.05273,0.6505,0.0122,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
72,6776.09,1.27104,1.00443,0.01101,0.89616,0.83905,0.89764,0.64054,1.05949,0.69839,0.01248,0.0216831,0.0072277,0.0216831,0.0072277,0.0216831,0.0072277,0.0216831,0.0072277
73,6869.67,1.25481,0.99055,0.01075,0.89721,0.83756,0.89894,0.64325,1.05494,0.70357,0.01222,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
74,6963.26,1.25705,0.9968,0.01104,0.9409,0.8241,0.90599,0.65556,1.03578,0.67677,0.01213,0.021261,0.007087,0.021261,0.007087,0.021261,0.007087,0.021261,0.007087
75,7057.68,1.23923,0.96637,0.01065,0.9196,0.83965,0.90284,0.64527,1.05807,0.6418,0.01221,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
76,7151.26,1.24811,0.97942,0.0106,0.95154,0.8181,0.90661,0.65265,1.02683,0.63646,0.0117,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428
77,7244.71,1.23473,0.96628,0.0105,0.93612,0.83266,0.90354,0.64267,1.04674,0.67064,0.01174,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
78,7338.51,1.22644,0.97272,0.01057,0.91733,0.84975,0.90417,0.64444,1.04797,0.67107,0.01217,0.0203991,0.0067997,0.0203991,0.0067997,0.0203991,0.0067997,0.0203991,0.0067997
79,7431.95,1.23208,0.95446,0.0106,0.93136,0.83586,0.90089,0.6459,1.06439,0.62677,0.01212,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
80,7525.8,1.228,0.95573,0.01035,0.94742,0.82449,0.90335,0.64795,1.05972,0.62442,0.01222,0.0199602,0.00665339,0.0199602,0.00665339,0.0199602,0.00665339,0.0199602,0.00665339
81,7619.43,1.20683,0.9406,0.01017,0.93331,0.84822,0.90668,0.6489,1.05577,0.6349,0.0123,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
82,7714.02,1.2119,0.94259,0.01039,0.91506,0.8548,0.90192,0.64221,1.06848,0.63916,0.01276,0.0195165,0.0065055,0.0195165,0.0065055,0.0195165,0.0065055,0.0195165,0.0065055
83,7807.9,1.207,0.94229,0.01032,0.90998,0.82828,0.89378,0.64539,1.04235,0.67014,0.0122,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
84,7901.67,1.1922,0.93339,0.01023,0.93833,0.82612,0.89523,0.64474,1.04014,0.67763,0.01194,0.0190685,0.00635617,0.0190685,0.00635617,0.0190685,0.00635617,0.0190685,0.00635617
85,7994.95,1.20608,0.93692,0.01028,0.93733,0.82702,0.8944,0.64798,1.05417,0.65986,0.01254,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
86,8088.68,1.17788,0.92096,0.0101,0.93271,0.83712,0.89339,0.64837,1.04215,0.65553,0.01234,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555
